Licenses for third-party software included in this release.

Category,License,Dependency,Notes
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0.html),org.http4s # http4s-dsl_2.13 # 1.0.0-M27,
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0.html),org.http4s # http4s-jawn_2.13 # 1.0.0-M27,
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0.html),org.http4s # http4s-server_2.13 # 1.0.0-M27,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0),org.json4s # json4s-ast_2.13 # 3.6.11,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0),org.json4s # json4s-core_2.13 # 3.6.11,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0),org.json4s # json4s-native_2.13 # 3.6.11,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0),org.json4s # json4s-scalap_2.13 # 3.6.11,
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0),org.scala-lang # scala-compiler # 2.13.5,
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0),org.scala-lang # scala-library # 2.13.5,
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0),org.scala-lang # scala-reflect # 2.13.5,
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0),org.scala-lang.modules # scala-collection-compat_2.13 # 2.4.2,
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0),org.scala-lang.modules # scala-xml_2.13 # 1.3.0,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0),org.scalatestplus # mockito-3-2_2.13 # 3.1.0.0,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0),org.scalatestplus # scalatestplus-scalacheck_2.13 # 3.1.0.0-RC2,
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0.html),org.typelevel # case-insensitive_2.13 # 1.1.4,
Apache,Apache-2.0 (http://www.apache.org/licenses/),org.typelevel # cats-effect-kernel_2.13 # 3.2.9,
Apache,Apache-2.0 (http://www.apache.org/licenses/),org.typelevel # cats-effect-laws_2.13 # 3.2.2,
Apache,Apache-2.0 (http://www.apache.org/licenses/),org.typelevel # cats-effect-std_2.13 # 3.2.9,
Apache,Apache-2.0 (http://www.apache.org/licenses/),org.typelevel # cats-effect-testing-scalatest_2.13 # 1.2.0,
Apache,Apache-2.0 (http://www.apache.org/licenses/),org.typelevel # cats-effect_2.13 # 3.2.8,
Apache,Apache-2.0 (http://www.apache.org/licenses/),org.typelevel # core_2.13 # 1.2.0,
Apache,Apache-2.0 (http://www.apache.org/licenses/),org.typelevel # jawn-fs2_2.13 # 2.1.0,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0),org.typelevel # literally_2.13 # 1.0.2,
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0.html),org.xerial.snappy # snappy-java # 1.1.8,
Apache,"The Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.fasterxml.woodstox # woodstox-core # 5.0.3,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.fasterxml.jackson.core # jackson-annotations # 2.9.10,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.fasterxml.jackson.core # jackson-core # 2.9.10,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.fasterxml.jackson.core # jackson-databind # 2.9.10,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.flipkart.zjsonpatch # zjsonpatch # 0.4.4,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.github.jknack # handlebars # 4.1.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.github.jknack # handlebars-helpers # 4.1.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/license/LICENSE-2.0.txt)",com.github.tomakehurst # wiremock-jre8 # 2.25.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.google.code.findbugs # jsr305 # 3.0.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.google.code.gson # gson # 2.2.4,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.google.guava # failureaccess # 1.0.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.google.guava # guava # 11.0.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.google.guava # guava # 27.0.1-jre,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.google.guava # listenablefuture # 9999.0-empty-to-avoid-conflict-with-guava,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.google.inject # guice # 3.0,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.google.inject.extensions # guice-servlet # 3.0,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.google.j2objc # j2objc-annotations # 1.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.jayway.jsonpath # json-path # 2.4.0,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.twitter # hpack # 1.0.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",commons-cli # commons-cli # 1.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",commons-codec # commons-codec # 1.4,
Apache,"The Apache Software License, Version 2.0 (/LICENSE.txt)",commons-configuration # commons-configuration # 1.6,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",commons-digester # commons-digester # 1.8.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",commons-io # commons-io # 2.4,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",commons-lang # commons-lang # 2.6,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",commons-logging # commons-logging # 1.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",commons-net # commons-net # 3.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",commons-pool # commons-pool # 1.6,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",javax.inject # javax.inject # 1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",log4j # log4j # 1.2.17,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",net.minidev # accessors-smart # 1.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",net.minidev # json-smart # 2.3,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.commons # commons-math3 # 3.1.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.curator # curator-client # 2.13.0,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.curator # curator-framework # 2.13.0,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.curator # curator-recipes # 2.13.0,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.htrace # htrace-core4 # 4.1.0-incubating,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.parquet # parquet-avro # 1.12.0,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.parquet # parquet-column # 1.12.0,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.parquet # parquet-common # 1.12.0,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.parquet # parquet-encoding # 1.12.0,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.parquet # parquet-format-structures # 1.12.0,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.parquet # parquet-hadoop # 1.12.0,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.parquet # parquet-jackson # 1.12.0,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.zookeeper # zookeeper # 3.4.14,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.sonatype.sisu.inject # cglib # 2.2.1-v20090111,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.xmlunit # xmlunit-core # 2.6.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.xmlunit # xmlunit-placeholders # 2.6.2,
Apache,"the Apache License, ASL Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",org.scalactic # scalactic_2.13 # 3.2.9,
Apache,"the Apache License, ASL Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",org.scalatest # scalatest-compatible # 3.2.9,
Apache,"the Apache License, ASL Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",org.scalatest # scalatest-core_2.13 # 3.2.9,
